Name,Version,Publisher
Microsoft.iOS.Sdk.net8.0_17.0 (x64),17.0.8523.0,Microsoft Corporation
Microsoft.iOS.Sdk.net8.0_18.0 (x64),18.0.8319.0,Microsoft Corporation
Microsoft.iOS.Sdk.net9.0_18.0 (x64),18.0.9617.0,Microsoft Corporation
Microsoft.iOS.Sdk.net9.0_18.2 (x64),18.2.9180.0,Microsoft Corporation
Microsoft.iOS.Templates (x64),18.2.9180.0,Microsoft Corporation
Microsoft.iOS.Windows.Sdk.net8.0_17.0 (x64),17.0.8523.0,Microsoft Corporation
Microsoft.iOS.Windows.Sdk.net8.0_18.0 (x64),18.0.8319.0,Microsoft Corporation
Microsoft.iOS.Windows.Sdk.net9.0_18.0 (x64),18.0.9617.0,Microsoft Corporation
Microsoft.iOS.Windows.Sdk.net9.0_18.2 (x64),18.2.9180.0,Microsoft Corporation
Microsoft.MacCatalyst.Ref.net9.0_18.2 (x64),18.2.9180.0,Microsoft Corporation
Microsoft.MacCatalyst.Runtime.maccatalyst-arm64.net9.0_18.2 (x64),18.2.9180.0,Microsoft Corporation
Microsoft.MacCatalyst.Runtime.maccatalyst-x64.net9.0_18.2 (x64),18.2.9180.0,Microsoft Corporation
Microsoft.MacCatalyst.Sdk.net8.0_17.0 (x64),17.0.8523.0,Microsoft Corporation
Microsoft.MacCatalyst.Sdk.net8.0_18.0 (x64),18.0.8319.0,Microsoft Corporation
Microsoft.MacCatalyst.Sdk.net9.0_18.0 (x64),18.0.9617.0,Microsoft Corporation
Microsoft.MacCatalyst.Sdk.net9.0_18.2 (x64),18.2.9180.0,Microsoft Corporation
Microsoft.MacCatalyst.Templates (x64),18.2.9180.0,Microsoft Corporation
Microsoft.Maui.Controls (x64),9.0.14.0,Microsoft Corporation
Microsoft.Maui.Controls.Build.Tasks (x64),9.0.14.0,Microsoft Corporation
Microsoft.Maui.Controls.Compatibility (x64),9.0.14.0,Microsoft Corporation
Microsoft.Maui.Controls.Core (x64),9.0.14.0,Microsoft Corporation
Microsoft.Maui.Controls.Xaml (x64),9.0.14.0,Microsoft Corporation
Microsoft.Maui.Core (x64),9.0.14.0,Microsoft Corporation
Microsoft.Maui.Essentials (x64),9.0.14.0,Microsoft Corporation
Microsoft.Maui.Graphics (x64),9.0.14.0,Microsoft Corporation
Microsoft.Maui.Graphics.Win2D.WinUI.Desktop (x64),9.0.14.0,Microsoft Corporation
Microsoft.Maui.Resizetizer (x64),9.0.14.0,Microsoft Corporation
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64),9.0.3.0,Microsoft Corporation
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64),8.0.14.0,Microsoft Corporation
Microsoft.NET.Runtime.MonoTargets.Sdk (x64),9.0.3.0,Microsoft Corporation
Microsoft.NET.Runtime.MonoTargets.Sdk (x64),8.0.14.0,Microsoft Corporation
Microsoft.NET.Sdk.Android.Manifest-9.0.100 (x64),35.0.39,Microsoft Corporation
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64),64.136.23253,Microsoft Corporation
Microsoft.NET.Sdk.iOS.Manifest-9.0.100 (x64),18.2.9180,Microsoft Corporation
Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64),18.2.9180,Microsoft Corporation
Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64),15.2.9180,Microsoft Corporation
Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64),9.0.14,Microsoft Corporation
Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64),18.2.9180,Microsoft Corporation
Microsoft.NET.Workload.Emscripten.Current.Manifest (x64),72.48.29394,Microsoft Corporation
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64),72.48.29394,Microsoft Corporation
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64),72.48.29394,Microsoft Corporation
Microsoft.NET.Workload.Emscripten.net8.Manifest (x64),72.48.29394,Microsoft Corporation
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64),72.0.29501,Microsoft Corporation
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64),72.0.29501,Microsoft Corporation
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64),72.0.29501,Microsoft Corporation
Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64),72.0.29501,Microsoft Corporation
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64),9.0.3.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64),8.0.14.0,Microsoft Corporation
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64),9.0.3.0,Microsoft Corporation
Mozilla Firefox (x64 en-US),141,Microsoft Corporation
Mozilla Maintenance Service,136.0.3,Mozilla
Python 3.13.0 Add to Path (64-bit),3.13.150.0,Mozilla
Python 3.13.0 Core Interpreter (64-bit),3.13.150.0,Python Software Foundation
Python 3.13.0 Development Libraries (64-bit),3.13.150.0,Python Software Foundation
Python 3.13.0 Documentation (64-bit),3.13.150.0,Python Software Foundation
Python 3.13.0 Executables (64-bit),3.13.150.0,Python Software Foundation
Python 3.13.0 pip Bootstrap (64-bit),3.13.150.0,Python Software Foundation
Python 3.13.0 Standard Library (64-bit),3.13.150.0,Python Software Foundation
Python 3.13.0 Tcl/Tk Support (64-bit),3.13.150.0,Python Software Foundation
Python 3.13.0 Test Suite (64-bit),3.13.150.0,Python Software Foundation
Realtek USB Audio,6.4.0.393,Python Software Foundation
SteelSeries GG 90.0.0,90.0.0,Realtek Semiconductor Corp.
Unity Hub 2.4.4,2.4.4,SteelSeries ApS
Universal CRT Tools x64,10.1.26100.2454,Unity Technologies Inc.
VS JIT Debugger,17.0.157.0,Microsoft Corporation
VS Script Debugging Common,17.0.157.0,Microsoft Corporation
VS WCF Debugging,17.0.157.0,Microsoft Corporation
vs_communityx64msi,17.13.35716,Microsoft Corporation
vs_devenx64vmsi,17.13.35710,Microsoft Corporation
vs_Graphics_Singletonx64,17.13.35716,Microsoft Corporation
vs_minshellinteropx64msi,17.13.35710,Microsoft Corporation
vs_minshellx64msi,17.13.35729,Microsoft Corporation
Windows App Certification Kit Native Components,10.1.26100.2454,Microsoft Corporation
Windows SDK DirectX x64 Remote,10.1.26100.2454,Microsoft Corporation
Windows Subsystem for Linux,,Microsoft Corporation
Microsoft Update Health Tools,5.72.0.0,Microsoft Corporation
Docker Desktop,4.43.2,Microsoft Corporation
Git,2.50.1,Docker Inc.
Microsoft Update Health Tools,5.72.0.0,The Git Development Community
Pen Settings Service,7.7.1.86,Microsoft Corporation
Python 3.13.5 Add to Path (64-bit),3.13.5150.0,Wacom Technology Corp.
Python 3.13.5 Core Interpreter (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Development Libraries (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Documentation (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Executables (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 pip Bootstrap (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Standard Library (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Tcl/Tk Support (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Test Suite (64-bit),3.13.5150.0,Python Software Foundation
Realtek USB Audio,6.4.0.393,Python Software Foundation
Windows Subsystem for Linux,2.5.9.0,Realtek Semiconductor Corp.
Adobe Acrobat (64-bit),25.001.20577,Microsoft Corporation
Docker Desktop,4.38.0,Adobe
Git,2.46.0,Docker Inc.
InstallRoot,5.6,The Git Development Community
Microsoft .NET Host - 6.0.32 (x64),48.128.16743,DoD PKE
Microsoft .NET Host FX Resolver - 6.0.32 (x64),48.128.16743,Microsoft Corporation
Microsoft .NET Runtime - 6.0.32 (x64),48.128.16743,Microsoft Corporation
Microsoft Teams Meeting Add-in for Microsoft Office,1.25.14602,Microsoft Corporation
Microsoft Update Health Tools,5.72.0.0,Microsoft
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532,14.36.32532,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.36.32532,14.36.32532,Microsoft Corporation
Microsoft Windows Desktop Runtime - 6.0.32 (x64),48.128.16742,Microsoft Corporation
Nessus Agent (x64),10.8.5.20039,Microsoft Corporation
Pen Settings Service,7.7.1.86,Tenable, Inc.
Python 3.12.7 Add to Path (64-bit),3.12.7150.0,Wacom Technology Corp.
Python 3.12.7 Core Interpreter (64-bit),3.12.7150.0,Python Software Foundation
Python 3.12.7 Development Libraries (64-bit),3.12.7150.0,Python Software Foundation
Python 3.12.7 Documentation (64-bit),3.12.7150.0,Python Software Foundation
Python 3.12.7 Executables (64-bit),3.12.7150.0,Python Software Foundation
Python 3.12.7 pip Bootstrap (64-bit),3.12.7150.0,Python Software Foundation
Python 3.12.7 Standard Library (64-bit),3.12.7150.0,Python Software Foundation
Python 3.12.7 Tcl/Tk Support (64-bit),3.12.7150.0,Python Software Foundation
Python 3.12.7 Test Suite (64-bit),3.12.7150.0,Python Software Foundation
Realtek USB Audio,6.4.0.393,Python Software Foundation
SCAP Compliance Checker 5.10.1,5.10.1,Realtek Semiconductor Corp.
VMware Horizon Client,8.13.0.8174,NIWC Atlantic
VMware Horizon HTML5 Multimedia Redirection Client,8.13.0,VMware, Inc.
Windows Subsystem for Linux,2.2.4.0,VMware, Inc.
Adobe Acrobat (64-bit),25.001.20577,Microsoft Corporation
Amazon WorkSpaces,5.10.0.4196,Adobe
Amazon WorkSpaces,5.28.0.5487,Amazon Web Services, Inc
Application Verifier x64 External Package,10.1.19041.5609,Amazon Web Services, Inc
Docker Desktop,4.43.2,Microsoft
Git,2.49.0,Docker Inc.
InstallRoot,5.5,The Git Development Community
Java(TM) SE Development Kit 17.0.12 (64-bit),17.0.12.0,DoD PKE
Microsoft .NET Host - 6.0.36 (x64),48.144.23141,Oracle Corporation
Microsoft .NET Host - 8.0.18 (x64),64.72.35889,Microsoft Corporation
Microsoft .NET Host FX Resolver - 6.0.36 (x64),48.144.23141,Microsoft Corporation
Microsoft .NET Host FX Resolver - 8.0.18 (x64),64.72.35889,Microsoft Corporation
Microsoft .NET Runtime - 6.0.36 (x64),48.144.23141,Microsoft Corporation
Microsoft .NET Runtime - 8.0.18 (x64),64.72.35889,Microsoft Corporation
Microsoft 365 Apps for enterprise - en-us,16.0.18827.20202,Microsoft Corporation
Microsoft Teams Meeting Add-in for Microsoft Office,1.24.19202,Microsoft Corporation
Microsoft Update Health Tools,5.72.0.0,Microsoft
Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30157,14.29.30157,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211,14.44.35211,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211,14.44.35211,Microsoft Corporation
Microsoft Visual Studio Installer,3.14.2075.50697,Microsoft Corporation
Microsoft Windows Desktop Runtime - 6.0.36 (x64),48.144.23186,Microsoft Corporation
Microsoft Windows Desktop Runtime - 8.0.18 (x64),64.72.35986,Microsoft Corporation
Nessus Agent (x64),10.8.5.20039,Microsoft Corporation
Node.js,22.17.0,Tenable, Inc.
Office 16 Click-to-Run Extensibility Component,16.0.18827.20102,Node.js Foundation
Office 16 Click-to-Run Licensing Component,16.0.18827.20202,Microsoft Corporation
Oracle VirtualBox 7.1.10,7.1.10,Microsoft Corporation
PowerShell 7-x64,7.5.2.0,Oracle and/or its affiliates
Python 3.12.2 Core Interpreter (64-bit),3.12.2150.0,Microsoft Corporation
Python 3.12.2 Development Libraries (64-bit),3.12.2150.0,Python Software Foundation
Python 3.12.2 Documentation (64-bit),3.12.2150.0,Python Software Foundation
Python 3.12.2 Executables (64-bit),3.12.2150.0,Python Software Foundation
Python 3.12.2 pip Bootstrap (64-bit),3.12.2150.0,Python Software Foundation
Python 3.12.2 Standard Library (64-bit),3.12.2150.0,Python Software Foundation
Python 3.12.2 Tcl/Tk Support (64-bit),3.12.2150.0,Python Software Foundation
Python 3.12.2 Test Suite (64-bit),3.12.2150.0,Python Software Foundation
Python 3.13.5 Core Interpreter (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Development Libraries (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Documentation (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Executables (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 pip Bootstrap (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Standard Library (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Tcl/Tk Support (64-bit),3.13.5150.0,Python Software Foundation
Python 3.13.5 Test Suite (64-bit),3.13.5150.0,Python Software Foundation
Realtek USB Audio,6.4.0.393,Python Software Foundation
SCAP Compliance Checker 5.10.1,5.10.1,Realtek Semiconductor Corp.
Universal CRT Tools x64,10.1.19041.5609,NIWC Atlantic
VMware Horizon Client,8.13.1.16218,Microsoft Corporation
VMware Horizon HTML5 Multimedia Redirection Client,8.13.1,VMware, Inc.
VS Script Debugging Common,16.0.102.0,VMware, Inc.
Windows App Certification Kit Native Components,10.1.19041.5609,Microsoft Corporation
Windows SDK DirectX x64 Remote,10.1.19041.5609,Microsoft Corporation
Windows Subsystem for Linux,2.4.12.0,Microsoft Corporation
Adobe Acrobat (64-bit),25.001.20577,Microsoft Corporation
Android Studio,2024.3,Adobe
Docker Desktop,4.43.2,Google LLC
Git,2.47.1.2,Docker Inc.
HP USB-C Dock G5 Firmware Installer,1.0.22.0,The Git Development Community
InstallRoot,5.6,HP Inc.
Microsoft Office LTSC Professional Plus 2024 - en-us,16.0.17932.20428,DoD PKE
Microsoft OneDrive,25.127.0701.0006,Microsoft Corporation
Microsoft Project Professional 2024 - en-us,16.0.17932.20428,Microsoft Corporation
Microsoft Teams Meeting Add-in for Microsoft Office,1.25.14205,Microsoft Corporation
Microsoft Update Health Tools,5.72.0.0,Microsoft
Microsoft Visio LTSC Professional 2024 - en-us,16.0.17932.20428,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.42.34433,14.42.34433,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34433,14.42.34433,Microsoft Corporation
Nessus Agent (x64),10.8.5.20039,Microsoft Corporation
Node.js,20.18.2,Tenable, Inc.
Office 16 Click-to-Run Extensibility Component,16.0.17928.20216,Node.js Foundation
Office 16 Click-to-Run Licensing Component,16.0.17932.20428,Microsoft Corporation
Pen Settings Service,7.7.1.86,Microsoft Corporation
Python 3.13.1 Add to Path (64-bit),3.13.1150.0,Wacom Technology Corp.
Python 3.13.1 Core Interpreter (64-bit),3.13.1150.0,Python Software Foundation
Python 3.13.1 Development Libraries (64-bit),3.13.1150.0,Python Software Foundation
Python 3.13.1 Documentation (64-bit),3.13.1150.0,Python Software Foundation
Python 3.13.1 Executables (64-bit),3.13.1150.0,Python Software Foundation
Python 3.13.1 pip Bootstrap (64-bit),3.13.1150.0,Python Software Foundation
Python 3.13.1 Standard Library (64-bit),3.13.1150.0,Python Software Foundation
Python 3.13.1 Tcl/Tk Support (64-bit),3.13.1150.0,Python Software Foundation
Python 3.13.1 Test Suite (64-bit),3.13.1150.0,Python Software Foundation
SCAP Compliance Checker 5.10.1,5.10.1,Python Software Foundation
Windows Subsystem for Linux,2.4.11.0,NIWC Atlantic
Adobe Acrobat (64-bit),25.001.20577,Microsoft Corporation
Docker Desktop,4.40.0,Adobe
Git,2.49.0,Docker Inc.
Microsoft Teams Meeting Add-in for Microsoft Office,1.25.14602,The Git Development Community
Microsoft Update Health Tools,5.72.0.0,Microsoft
Node.js,22.17.0,Microsoft Corporation
Pen Settings Service,7.7.1.86,Node.js Foundation
Realtek USB Audio,6.4.0.393,Wacom Technology Corp.
Windows Subsystem for Linux,2.4.13.0,Realtek Semiconductor Corp.
7-Zip 24.09 (x64),24.09,Microsoft Corporation
Adobe Acrobat (64-bit),25.001.20577,Igor Pavlov
Application Verifier x64 External Package,10.1.19041.685,Adobe
Docker Desktop,4.42.0,Microsoft
Git,2.48.1,Docker Inc.
InstallRoot,5.6,The Git Development Community
InstallRoot,5.5,DoD PKE
Java 8 Update 451 (64-bit),8.0.4510.10,DoD PKE
Justinmind,10.0.4,Oracle Corporation
Microsoft .NET Host - 6.0.22 (x64),48.88.905,Justinmind
Microsoft .NET Host FX Resolver - 6.0.22 (x64),48.88.905,Microsoft Corporation
Microsoft .NET Runtime - 6.0.22 (x64),48.88.905,Microsoft Corporation
Microsoft Teams Meeting Add-in for Microsoft Office,1.24.19202,Microsoft Corporation
Microsoft Update Health Tools,5.72.0.0,Microsoft
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0.40664,Microsoft Corporation
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0.40664,Microsoft Corporation
Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30139,14.29.30139,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532,14.36.32532,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.36.32532,14.36.32532,Microsoft Corporation
Microsoft Visual Studio Installer,3.5.2150.18781,Microsoft Corporation
Microsoft Windows Desktop Runtime - 6.0.22 (x64),48.88.914,Microsoft Corporation
MongoDB 6.0.7 2008R2Plus SSL (64 bit),6.0.7,Microsoft Corporation
Mozilla Firefox (x64 en-US),127,MongoDB Inc.
Mozilla Maintenance Service,127,Mozilla
Nessus Agent (x64),10.8.5.20039,Mozilla
Node.js,22.14.0,Tenable, Inc.
Oracle VirtualBox 7.1.6,7.1.6,Node.js Foundation
Pen Settings Service,7.7.1.86,Oracle and/or its affiliates
Python 3.11.3 Add to Path (64-bit),3.11.3150.0,Wacom Technology Corp.
Python 3.11.3 Core Interpreter (64-bit),3.11.3150.0,Python Software Foundation
Python 3.11.3 Development Libraries (64-bit),3.11.3150.0,Python Software Foundation
Python 3.11.3 Documentation (64-bit),3.11.3150.0,Python Software Foundation
Python 3.11.3 Executables (64-bit),3.11.3150.0,Python Software Foundation
Python 3.11.3 pip Bootstrap (64-bit),3.11.3150.0,Python Software Foundation
Python 3.11.3 Standard Library (64-bit),3.11.3150.0,Python Software Foundation
Python 3.11.3 Tcl/Tk Support (64-bit),3.11.3150.0,Python Software Foundation
Python 3.11.3 Test Suite (64-bit),3.11.3150.0,Python Software Foundation
Python 3.11.3 Utility Scripts (64-bit),3.11.3150.0,Python Software Foundation
Python 3.13.2 Add to Path (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Core Interpreter (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Development Libraries (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Documentation (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Executables (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 pip Bootstrap (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Standard Library (64-bit),3.13.2150.0,Python Software Foundation
